CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
124-38-9,O=C=O,0
67-56-1,OC,0
64-19-7,O=C(O)C,0
630-08-0,[C-]#[O+],0
67-64-1,O=C(C)C,0
56-81-5,OCC(O)CO,0
108-88-3,C=1C=CC(=CC1)C,0
107-21-1,OCCO,0
67-63-0,OC(C)C,0
62-53-3,NC=1C=CC=CC1,0
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
65-85-0,O=C(O)C=1C=CC=CC1,0
71-23-8,OCCC,0
75-07-0,O=CC,0
100-51-6,OCC=1C=CC=CC1,0
108-94-1,O=C1CCCCC1,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
100-39-0,BrCC=1C=CC=CC1,0
74-89-5,NC,0
100-46-9,NCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
603-35-0,C=1C=CC(=CC1)P(C=2C=CC=CC2)C=3C=CC=CC3,0
75-36-5,O=C(Cl)C,0
124-40-3,N(C)C,0
111-46-6,OCCOCCO,0
124-63-0,O=S(=O)(Cl)C,0
110-63-4,OCCCCO,0
111-42-2,OCCNCCO,0
109-73-9,NCCCC,0
98-80-6,OB(O)C=1C=CC=CC1,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
123-75-1,N1CCCC1,0
75-12-7,O=CN,0
108-91-8,NC1CCCCC1,0
75-03-6,ICC,0
110-85-0,N1CCNCC1,0
79-14-1,O=C(O)CO,0
100-63-0,NNC=1C=CC=CC1,0
504-63-2,OCCCO,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
1066-54-2,C#C[Si](C)(C)C,0
105-36-2,O=C(OCC)CBr,0
79-31-2,O=C(O)C(C)C,0
109-01-3,N1CCN(C)CC1,0
109-86-4,OCCOC,0
112-27-6,OCCOCCOCCO,0
75-75-2,O=S(=O)(O)C,0
106-96-7,BrCC#C,0
106-93-4,BrCCBr,0
75-16-1,Br[Mg]C,0
64-04-0,NCCC=1C=CC=CC1,0
358-23-6,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0
75-64-9,NC(C)(C)C,0
143-33-9,N#C[Na],0
504-29-0,N=1C=CC=CC1N,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
3282-30-2,O=C(Cl)C(C)(C)C,0
306-08-1,O=C(O)CC1=CC=C(O)C(OC)=C1,0
124-68-5,OCC(N)(C)C,0
110-87-2,O1C=CCCC1,0
504-24-5,N=1C=CC(N)=CC1,0
112-55-0,SCCCCCCCCCCCC,0
925-90-6,Br[Mg]CC,0
110-52-1,BrCCCCBr,0
107-96-0,O=C(O)CCS,0
765-30-0,NC1CC1,0
109-64-8,BrCCCBr,0
105-13-5,OCC1=CC=C(OC)C=C1,0
75-00-3,ClCC,0
544-92-3,N#C[Cu],0
156-87-6,OCCCN,0
100-07-2,O=C(Cl)C1=CC=C(OC)C=C1,0
96-32-2,O=C(OC)CBr,0
5292-43-3,O=C(OC(C)(C)C)CBr,0
74-99-7,C#CC,0
75-30-9,IC(C)C,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
7677-24-9,N#C[Si](C)(C)C,0
540-51-2,BrCCO,0
824-94-2,ClCC1=CC=C(OC)C=C1,0
109-83-1,OCCNC,0
75-26-3,BrC(C)C,0
103-80-0,O=C(Cl)CC=1C=CC=CC1,0
115-19-5,C#CC(O)(C)C,0
18107-18-1,[N-]=[N+]=C[Si](C)(C)C,0
100-37-8,OCCN(CC)CC,0
109-85-3,O(C)CCN,0
462-08-8,N=1C=CC=C(N)C1,0
111-77-3,OCCOCCOC,0
271-89-6,O1C=CC=2C=CC=CC12,0
1003-03-8,NC1CCCC1,0
557-21-1,N#C[Zn]C#N,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
2038-03-1,O1CCN(CC1)CCN,0
111-24-0,BrCCCCCBr,0
1692-25-7,OB(O)C=1C=NC=CC1,0
7659-36-1,O=C(OCCN)C(=C)C,0
1111-97-3,ClC(C#C)(C)C,0
55276-43-2,O=S(=O)(N1CCNCC1)C,0
13035-19-3,NC1CCNCC1,0
398489-26-4,O=C(OC(C)(C)C)N1CC(=O)C1,0
27374-25-0,O(CC)C1(O[Si](C)(C)C)CC1,0
5004-07-9,N1CCC(N2CCCC2)CC1,0
21635-88-1,O1CC(N)C1,0
5454-83-1,O=C(OC)CCCCBr,0
86087-23-2,OC1COCC1,0
1589-49-7,OCCCOC,0
5050-41-9,ClCCN1CCCC1,0
53617-35-9,O1CCN(CC1)C2CCNCC2,0
