CAS Registry Number,Canonical SMILES,key
67-63-0,OC(C)C,0
62-53-3,NC=1C=CC=CC1,0
100-51-6,OCC=1C=CC=CC1,0
141-43-5,OCCN,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
100-39-0,BrCC=1C=CC=CC1,0
109-89-7,N(CC)CC,0
109-73-9,NCCCC,0
100-02-7,O=N(=O)C1=CC=C(O)C=C1,0
123-75-1,N1CCCC1,0
140-88-5,O=C(OCC)C=C,0
108-30-5,O=C1OC(=O)CC1,0
107-10-8,NCCC,0
75-31-0,NC(C)C,0
1066-54-2,C#C[Si](C)(C)C,0
109-01-3,N1CCN(C)CC1,0
109-86-4,OCCOC,0
103-71-9,O=C=NC=1C=CC=CC1,0
75-64-9,NC(C)(C)C,0
371-40-4,FC1=CC=C(N)C=C1,0
504-29-0,N=1C=CC=CC1N,0
100-61-8,C=1C=CC(=CC1)NC,0
504-24-5,N=1C=CC(N)=CC1,0
765-30-0,NC1CC1,0
109-64-8,BrCCCBr,0
156-87-6,OCCCN,0
540-51-2,BrCCO,0
2450-71-7,C#CCN,0
109-85-3,O(C)CCN,0
7693-46-1,O=C(Cl)OC1=CC=C(C=C1)N(=O)=O,0
462-08-8,N=1C=CC=C(N)C1,0
141-75-3,O=C(Cl)CCC,0
1003-03-8,NC1CCCC1,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
96-50-4,N=1C=CSC1N,0
2038-03-1,O1CCN(CC1)CCN,0
348-54-9,FC=1C=CC=CC1N,0
2033-24-1,O=C1OC(OC(=O)C1)(C)C,0
4023-34-1,O=C(Cl)C1CC1,0
372-19-0,FC1=CC=CC(N)=C1,0
5382-16-1,OC1CCNCC1,0
109-70-6,ClCCCBr,0
627-18-9,BrCCCO,0
104-12-1,O=C=NC1=CC=C(Cl)C=C1,0
100-36-7,NCCN(CC)CC,0
7051-34-5,BrCC1CC1,0
6482-24-2,BrCCOC,0
76513-69-4,ClCOCC[Si](C)(C)C,0
3173-53-3,O=C=NC1CCCCC1,0
1489-69-6,O=CC1CC1,0
104-78-9,NCCCN(CC)CC,0
111-36-4,O=C=NCCCC,0
