CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
62-53-3,NC=1C=CC=CC1,0
141-43-5,OCCN,0
109-73-9,NCCCC,0
108-91-8,NC1CCCCC1,0
75-04-7,NCC,0
107-10-8,NCCC,0
75-31-0,NC(C)C,0
328-50-7,O=C(O)C(=O)CCC(=O)O,0
100-58-3,Br[Mg]C=1C=CC=CC1,0
75-64-9,NC(C)(C)C,0
51-79-6,O=C(OCC)N,0
95-55-6,OC=1C=CC=CC1N,0
108-77-0,ClC=1N=C(Cl)N=C(Cl)N1,0
3282-30-2,O=C(Cl)C(C)(C)C,0
124-68-5,OCC(N)(C)C,0
504-24-5,N=1C=CC(N)=CC1,0
93-58-3,O=C(OC)C=1C=CC=CC1,0
765-30-0,NC1CC1,0
78-81-9,NCC(C)C,0
78-96-6,OC(C)CN,0
109-85-3,O(C)CCN,0
1003-03-8,NC1CCCC1,0
4023-34-1,O=C(Cl)C1CC1,0
372-19-0,FC1=CC=CC(N)=C1,0
10365-98-7,OB(O)C=1C=CC=C(OC)C1,0
13952-84-6,NC(C)CC,0
543-27-1,O=C(Cl)OCC(C)C,0
63503-60-6,ClC1=CC=CC(=C1)B(O)O,0
108-19-0,O=C(N)NC(=O)N,0
768-35-4,FC1=CC=CC(=C1)B(O)O,0
2516-47-4,NCC1CC1,0
107-85-7,NCCC(C)C,0
1993-03-9,FC=1C=CC=CC1B(O)O,0
2516-34-9,NC1CCC1,0
753-90-2,FC(F)(F)CN,0
79-05-0,O=C(N)CC,0
5332-73-0,O(C)CCCN,0
3900-89-8,ClC=1C=CC=CC1B(O)O,0
600-22-6,O=C(OC)C(=O)C,0
87120-72-7,O=C(OC(C)(C)C)N1CCC(N)CC1,0
108-23-6,O=C(Cl)OC(C)C,0
6168-72-5,OCC(N)C,0
2237-30-1,N#CC1=CC=CC(N)=C1,0
38041-19-9,O1CCC(N)CC1,0
4248-19-5,O=C(OC(C)(C)C)N,0
4795-29-3,O1CCCC1CN,0
96-20-8,OCC(N)CC,0
5813-64-9,NCC(C)(C)C,0
4518-10-9,O=C(OC)C=1C=CC=C(N)C1,0
372-39-4,FC=1C=C(F)C=C(N)C1,0
2854-16-2,OC(C)(C)CN,0
625-52-5,O=C(N)NCC,0
598-94-7,O=C(N)N(C)C,0
5350-93-6,ClC1=NC=C(N)C=C1,0
5470-49-5,O=S(=O)(C1=CC=C(N)C=C1)C,0
110-76-9,O(CC)CCN,0
